cost,Area,type,no.of bed,Bathrooms,Location
"449,999 AED",452 sqft,Apartment,Studio,1,"Burj Al Nujoom, Downtown Dubai, Dubai"
"2,100,000 AED","1,340 sqft",Apartment,2,3,"The cove, Dubai Creek Harbour (The Lagoons), Dubai"
"1,435,000 AED",818 sqft,Apartment,1,1,"Port de La Mer, La Mer, Jumeirah, Dubai"
"15,000,000 AED","34,572 sqft",Land,,,"Lea, Yas Acres, Yas Island, Abu Dhabi"
"7,214,120 AED","7,214 sqft",Land,,,"La Mer South Island, La Mer, Jumeirah, Dubai"
"1,750,000 AED","1,292 sqft",Apartment,2,3,"Burj Vista 2, Burj Vista, Downtown Dubai, Dubai"
"12,700,000 AED","11,472 sqft",Villa,5,6,"The Nest, Al Barari, Dubai"
"1,800,000 AED","1,925 sqft",Apartment,3,4,"Rimal 5, Rimal, Jumeirah Beach Residence, Dubai"
"1,125,000 AED",892 sqft,Apartment,1,1,"Al Majara 5, Al Majara, Dubai Marina, Dubai"
"299,000 AED",584 sqft,Apartment,Studio,1,"Oasis Tower 1, Dubai Sports City, Dubai"
"1,200,000 AED","1,096 sqft",Apartment,1,2,"Maurya, Grandeur Residences, Palm Jumeirah, Dubai"
"546,692 AED",654 sqft,Apartment,1,2,"Golf Views, EMAAR South, Dubai South (Dubai World Central), Dubai"
"2,040,000 AED","1,560 sqft",Apartment,2,2,"South Ridge 3, South Ridge, Downtown Dubai, Dubai"
"2,900,000 AED","4,606 sqft",Villa,3,6,"Western Residence South, Falcon City of Wonders, Dubai"
"13,800,000 AED","15,950 sqft",Villa,7,7+,"Fairway Vistas, Dubai Hills, Dubai Hills Estate, Dubai"
"3,300,000 AED","2,198 sqft",Apartment,3,3,"The Atria, Business Bay, Dubai"
"350,000 AED",364 sqft,Apartment,Studio,1,"Navitas Hotel and Residences, Akoya, Dubai"
"6,250,000 AED","5,644 sqft",Apartment,4,5,"23 Marina, Dubai Marina, Dubai"
"1,800,000 AED","1,992 sqft",Apartment,2,2,"Al Shahla, Shoreline Apartments, Palm Jumeirah, Dubai"
"290,000 AED",412 sqft,Apartment,Studio,1,"Siraj Tower, Arjan, Dubai"
"1,549,999 AED","1,685 sqft",Apartment,3,4,"Ocean Heights, Dubai Marina, Dubai"
"7,500,000 AED","3,024 sqft",Townhouse,4,4,"Palma Residences, Palm Jumeirah, Dubai"
"4,699,000 AED","5,300 sqft",Villa,4,5,"Entertainment Foyer, European Clusters, Jumeirah Islands, Dubai"
Ask for price,"1,099 sqft",Apartment,4,5,"One at Palm Jumeirah, Palm Jumeirah, Dubai"
"1,501,888 AED",865 sqft,Apartment,1,1,"Beach Isle, EMAAR Beachfront, Dubai Harbour, Dubai"
"1,715,888 AED",789 sqft,Apartment,1,1,"Grand Bleu Tower, EMAAR Beachfront, Dubai Harbour, Dubai"
"495,000 AED",761 sqft,Apartment,1,2,"Joya Verde Residences, Jumeirah Village Circle, Dubai"
"1,420,000 AED","1,650 sqft",Villa,2,2,"Springs 3, The Springs, Dubai"
"980,693 AED","1,316 sqft",Apartment,2,2,"Aria, Jumeirah Village Circle, Dubai"
"8,200,000 AED","27,750 sqft",Compound,6,7,"Mohamed Bin Zayed City Villas, Mohamed Bin Zayed City, Abu Dhabi"
"1,160,000 AED",795 sqft,Apartment,1,1,"Boulevard Point, Downtown Dubai, Dubai"
"3,750,888 AED","2,455 sqft",Apartment,3,4,"Rimal 5, Rimal, Jumeirah Beach Residence, Dubai"
"1,198,750 AED","1,750 sqft",Townhouse,2,3,"MAG Eye, District 7, Mohammed Bin Rashid City, Dubai"
Ask for price,"5,000 sqft",Villa,5,7,"Al Rawda 2 Villas, Al Rawda 2, Al Rawda, Ajman"
"1,789,000 AED","1,132 sqft",Apartment,2,,"Seven Palm, Palm Jumeirah, Dubai"
"2,400,000 AED","2,240 sqft",Villa,3,3,"Springs 1, The Springs, Dubai"
"1,224,888 AED","1,533 sqft",Apartment,3,3,"Sapphire Beach Residence, Maryam Island, Sharjah"
"630,000 AED",739 sqft,Apartment,1,2,"Chaimaa Premiere, Jumeirah Village Circle, Dubai"
"1,100,000 AED","1,088 sqft",Apartment,1,2,"D1 Tower, Culture Village, Dubai"
"2,549,999 AED","1,900 sqft",Apartment,3,5,"Burj Vista 1, Burj Vista, Downtown Dubai, Dubai"
"12,500,000 AED","5,000 sqft",Villa,4,4,"Garden Homes Frond D, Garden Homes, Palm Jumeirah, Dubai"
"670,000 AED",886 sqft,Apartment,1,1,"The Torch, Dubai Marina, Dubai"
"1,350,000 AED","3,600 sqft",Villa,5,7,"Al Yasmeen 1, Al Yasmeen, Ajman"
"1,400,000 AED","3,500 sqft",Villa,5,7,"Al Mwaihat 1, Al Mwaihat, Ajman"
"3,495,000 AED","5,416 sqft",Townhouse,4,5,"Golden Mile 5, Golden Mile, Palm Jumeirah, Dubai"
"6,300,000 AED","7,850 sqft",Villa,4,5,"Golf Place, Dubai Hills Estate, Dubai"
"1,200,000 AED","2,045 sqft",Townhouse,3,4,"Hayat Townhouses, Town Square, Dubai"
"2,800,000 AED","2,250 sqft",Apartment,3,4,"Oceana Baltic, Oceana, Palm Jumeirah, Dubai"
"787,000 AED","4,610 sqft",Land,,,"Alreeman, Al Shamkha, Abu Dhabi"
"3,500,000 AED","1,760 sqft",Apartment,2,4,"The Fairmont Palm Residence South, The Fairmont Palm Residences, Palm Jumeirah, Dubai"
"1,900,000 AED","1,292 sqft",Apartment,2,3,"Burj Vista 2, Burj Vista, Downtown Dubai, Dubai"
"1,800,000 AED","1,347 sqft",Apartment,2,3,"Bonaire Tower, Park Island, Dubai Marina, Dubai"
"1,780,000 AED","1,200 sqft",Apartment,2,2,"Port de La Mer, La Mer, Jumeirah, Dubai"
"1,510,000 AED","2,231 sqft",Townhouse,4,4,"Amaranta, Villanova, Dubai Land, Dubai"
"734,500 AED","1,487 sqft",Apartment,2,2,"Oasis Tower, Al Rashidiya 1, Al Rashidiya, Ajman"
"4,200,000 AED","4,019 sqft",Villa,4,3,"Deema 1, Deema, The Lakes, Dubai"
"1,025,000 AED",713 sqft,Apartment,1,2,"Seven Palm, Palm Jumeirah, Dubai"
"15,490,000 AED","3,944 sqft",Apartment,3,4,"One at Palm Jumeirah, Palm Jumeirah, Dubai"
"1,700,000 AED",934 sqft,Apartment,2,3,"Burj Royale, Downtown Dubai, Dubai"
"2,986,000 AED","1,719 sqft",Apartment,3,3,"Bellevue Tower 1, Bellevue Towers, Downtown Dubai, Dubai"
"2,400,000 AED","1,700 sqft",Apartment,1,2,"Mamsha Al Saadiyat, Saadiyat Cultural District, Saadiyat Island, Abu Dhabi"
"4,608,355 AED","10,459 sqft",Land,,,"Nikki Beach Resort and Spa Dubai, Pearl Jumeirah, Jumeirah, Dubai"
"1,400,000 AED",847 sqft,Apartment,1,2,"The Address Residence Fountain Views 3, The Address Residence Fountain Views, Downtown Dubai, Dubai"
"398,000 AED",240 sqft,Apartment,Studio,,"Health care City, Dubai Healthcare City, Dubai"
"2,490,000 AED","2,490 sqft",Apartment,3,4,"Trident Oceanic, Oceanic, Dubai Marina, Dubai"
"2,799,999 AED","1,571 sqft",Apartment,2,3,"The Address Sky View Tower 1, The Address Sky View Towers, Downtown Dubai, Dubai"
"2,724,343 AED","1,543 sqft",Apartment,2,3,"The Residences at District One, Mohammed Bin Rashid City, Dubai"
"1,750,000 AED","1,302 sqft",Apartment,1,2,"Burj Daman, DIFC, Dubai"
"1,125,000 AED",666 sqft,Apartment,1,1,"Act One | Act Two towers, Opera District, Downtown Dubai, Dubai"
"1,540,000 AED",650 sqft,Apartment,1,2,"The Address Jumeirah Resort and Spa, Jumeirah Beach Residence, Dubai"
"4,463,000 AED","1,478 sqft",Apartment,2,3,"Serenia Residences North, Serenia Residences The Palm, Palm Jumeirah, Dubai"
"3,511,888 AED","1,666 sqft",Apartment,3,3,"Seven Palm, Palm Jumeirah, Dubai"
"2,500,000 AED","1,759 sqft",Apartment,3,4,"Acacia, Park Heights, Dubai Hills Estate, Dubai"
"599,900 AED",829 sqft,Apartment,1,2,"Oxford Residence, Jumeirah Village Circle, Dubai"
"4,199,888 AED","8,060 sqft",Villa,5,6,"The Centro, The Villa, Dubai"
"2,491,000 AED","1,431 sqft",Apartment,2,3,"Jumeirah Living Marina Gate, Marina Gate, Dubai Marina, Dubai"
"21,870,000 AED","5,188 sqft",Apartment,4,5,"One at Palm Jumeirah, Palm Jumeirah, Dubai"
"2,350,000 AED","1,211 sqft",Apartment,2,2,"Marina Gate 2, Marina Gate, Dubai Marina, Dubai"
"6,000,000 AED","15,000 sqft",Villa,6,6,"Shakhbout City, Abu Dhabi"
"3,500,000 AED","7,700 sqft",Villa,6,7+,"Al Ramaqiya, Wasit, Sharjah"
"3,389,888 AED","5,579 sqft",Land,,,"Emerald Hills, Dubai Hills Estate, Dubai"
"3,700,000 AED","6,246 sqft",Villa,4,4,"Sidra Villas II, Sidra Villas, Dubai Hills Estate, Dubai"
"1,110,089 AED","1,061 sqft",Apartment,2,3,"Rigel, Jumeirah Village Circle, Dubai"
"1,242,300 AED",971 sqft,Apartment,1,1,"Sparkle Tower 2, Sparkle Towers, Dubai Marina, Dubai"
"5,500,000 AED","12,000 sqft",Villa,5,7,"Shakhbout City, Abu Dhabi"
"1,299,999 AED","1,400 sqft",Apartment,2,3,"Amwaj 4, Amwaj, Jumeirah Beach Residence, Dubai"
"995,000 AED",696 sqft,Apartment,1,1,"Aykon City, Business Bay, Dubai"
"400,888 AED",415 sqft,Apartment,Studio,1,"Se7en City JLT, Jumeirah Lake Towers, Dubai"
"1,650,000 AED","5,000 sqft",Villa,5,7+,"Al Mwaihat 2, Al Mwaihat, Ajman"
"10,500,000 AED","7,081 sqft",Villa,4,6,"Garden Homes Frond D, Garden Homes, Palm Jumeirah, Dubai"
"12,500,000 AED","82,000 sqft",Land,,,"Khalifa City A, Khalifa City, Abu Dhabi"
"1,380,888 AED",745 sqft,Apartment,1,2,"Beach Vista, EMAAR Beachfront, Dubai Harbour, Dubai"
"5,499,990 AED","2,590 sqft",Apartment,4,4,"The Address Jumeirah Resort and Spa, Jumeirah Beach Residence, Dubai"
"706,777 AED",501 sqft,Apartment,Studio,1,"Pixel, Makers District, Al Reem Island, Abu Dhabi"
"2,500,000 AED","1,671 sqft",Apartment,2,3,"Boulevard Crescent 2, BLVD Crescent, Downtown Dubai, Dubai"
"1,300,000 AED",827 sqft,Apartment,1,1,"Bay Central West, Bay Central, Dubai Marina, Dubai"
"2,580,888 AED","1,586 sqft",Apartment,3,4,"Park Ridge, Dubai Hills Estate, Dubai"
"520,000 AED",922 sqft,Apartment,1,2,"European, Canal Residence, Dubai Sports City, Dubai"
"1,300,000 AED","1,341 sqft",Apartment,2,3,"Amwaj 4, Amwaj, Jumeirah Beach Residence, Dubai"
"3,800,000 AED","4,359 sqft",Villa,4,5,"Lila, Arabian Ranches 2, Dubai"
"1,100,000 AED",852 sqft,Apartment,1,2,"Fairview Residency, Business Bay, Dubai"
"5,950,000 AED","4,838 sqft",Penthouse,4,5,"Al Dabas, Shoreline Apartments, Palm Jumeirah, Dubai"
"999,000 AED",880 sqft,Apartment,1,1,"8 Boulevard Walk, Mohammad Bin Rashid Boulevard, Downtown Dubai, Dubai"
"235,000 AED","1,142 sqft",Apartment,2,2,"Jasmine Towers, Garden City, Ajman"
"1,250,000 AED","2,152 sqft",Townhouse,3,4,"Elan, Tilal Al Ghaf, Dubai"
"155,000 AED","1,722 sqft",Land,,,"Al Zaheya Gardens, Al Zahya, Ajman"
"5,950,000 AED","4,838 sqft",Penthouse,4,5,"Al Dabas, Shoreline Apartments, Palm Jumeirah, Dubai"
"2,524,000 AED","1,489 sqft",Apartment,2,2,"Asayel, Madinat Jumeirah Living, Umm Suqeim, Dubai"
"1,687,000 AED",994 sqft,Apartment,2,2,"Merano Tower, Business Bay, Dubai"
"2,437,000 AED","1,696 sqft",Apartment,3,3,"Aykon City, Business Bay, Dubai"
"1,800,000 AED","1,480 sqft",Apartment,2,3,"Bonaire Tower, Park Island, Dubai Marina, Dubai"
"450,000 AED",408 sqft,Apartment,Studio,1,"Glamz by Danube, Glamz, Al Furjan, Dubai"
"1,550,000 AED",800 sqft,Apartment,1,2,"The Address Residences Dubai Opera, Downtown Dubai, Dubai"
"2,600,000 AED","2,700 sqft",Villa,5,4,"Maple 1, Maple at Dubai Hills Estate, Dubai Hills Estate, Dubai"
"1,719,888 AED","1,131 sqft",Apartment,2,3,"Seven Palm, Palm Jumeirah, Dubai"
"742,888 AED",314 sqft,Apartment,Studio,1,"Seven Palm, Palm Jumeirah, Dubai"
"1,495,000 AED","1,424 sqft",Apartment,1,2,"Oceana Aegean, Oceana, Palm Jumeirah, Dubai"
"1,675,000 AED","1,307 sqft",Apartment,2,3,"Al Majara 2, Al Majara, Dubai Marina, Dubai"
"7,500,000 AED","10,583 sqft",Villa,6,7,"Sanctuary Falls, Earth, Jumeirah Golf Estates, Dubai"
"1,950,000 AED","2,204 sqft",Villa,3,4,"La Quinta, Villanova, Dubai Land, Dubai"
"3,350,000 AED","3,725 sqft",Villa,5,5,"Silver Springs, DAMAC Hills (Akoya by DAMAC), Dubai"
Ask for price,"5,000 sqft",Villa,5,7+,"Al Mwaihat 1, Al Mwaihat, Ajman"
"4,500,000 AED","4,335 sqft",Villa,4,5,"Legacy, Jumeirah Park, Dubai"
"850,000 AED",641 sqft,Apartment,1,1,"Bay Central West, Bay Central, Dubai Marina, Dubai"
"1,650,000 AED","2,367 sqft",Townhouse,4,4,"Noor Townhouses, Town Square, Dubai"
"1,600,000 AED",975 sqft,Apartment,1,2,"Jumeirah Living Marina Gate, Marina Gate, Dubai Marina, Dubai"
"1,550,000 AED","1,945 sqft",Apartment,3,4,"Marina Wharf 1, Marina Wharf, Dubai Marina, Dubai"
"14,000,000 AED","6,100 sqft",Penthouse,4,5,"Le Reve, Dubai Marina, Dubai"
"19,500,000 AED","7,000 sqft",Villa,6,7,"Signature Villas Frond A, Signature Villas, Palm Jumeirah, Dubai"
"670,000 AED",890 sqft,Apartment,1,2,"Oxford Residence 2, Jumeirah Village Circle, Dubai"
"460,000 AED",817 sqft,Apartment,Studio,1,"Al Khail Heights, Dubai"
"619,999 AED",886 sqft,Apartment,1,2,"MAG 218, Dubai Marina, Dubai"
"1,736,000 AED","1,100 sqft",Apartment,2,3,"Port de La Mer, La Mer, Jumeirah, Dubai"
"9,800,000 AED","6,823 sqft",Townhouse,5,6,"Sur La Mer, La Mer, Jumeirah, Dubai"
"2,500,000 AED","1,493 sqft",Apartment,2,3,"Royal Bay, Palm Jumeirah, Dubai"
"2,000,000 AED","1,540 sqft",Apartment,2,3,"Vida Residence 2, Vida Residence, The Hills, Dubai"
"3,300,000 AED","3,527 sqft",Villa,3,4,"Heritage, Jumeirah Park, Dubai"
"18,000,000 AED","7,000 sqft",Villa,5,7,"Signature Villas Frond E, Signature Villas, Palm Jumeirah, Dubai"
"1,099,000 AED","3,114 sqft",Villa,2,2,"The Cove Rotana, Ras Al Khaimah Waterfront, Ras Al Khaimah"
"1,350,000 AED","2,190 sqft",Townhouse,3,4,"Noor Townhouses, Town Square, Dubai"
"1,250,000 AED","2,118 sqft",Townhouse,3,3,"Noor Townhouses, Town Square, Dubai"
"1,898,000 AED","1,198 sqft",Apartment,1,2,"Damac Heights, Dubai Marina, Dubai"
"1,150,000 AED","2,012 sqft",Apartment,2,3,"Signature Livings, Jumeirah Village Circle, Dubai"
"900,000 AED","8,073 sqft",Land,,,"Alreeman, Al Shamkha, Abu Dhabi"
"3,200,000 AED","1,855 sqft",Apartment,3,3,"The Address Sky View Tower 1, The Address Sky View Towers, Downtown Dubai, Dubai"
"2,099,999 AED","2,524 sqft",Villa,3,4,"Mira 2, Mira, Reem, Dubai"
Ask for price,"5,000 sqft",Villa,5,7,"Al Mwaihat 1, Al Mwaihat, Ajman"
"510,000 AED",432 sqft,Apartment,Studio,1,"Carson, The Drive, DAMAC Hills (Akoya by DAMAC), Dubai"
"1,229,888 AED","1,988 sqft",Townhouse,3,3,"Eden, The Valley, Dubai"
"2,350,000 AED","3,924 sqft",Villa,4,4,"Al Waha Villas, Dubai Land, Dubai"
"2,550,000 AED","3,339 sqft",Villa,5,6,"The Field, DAMAC Hills (Akoya by DAMAC), Dubai"
"1,800,000 AED","2,411 sqft",Townhouse,3,4,"Dubai Style, North Village, Al Furjan, Dubai"
"4,300,000 AED","3,360 sqft",Villa,4,4,"Club Villas at Dubai Hills, Dubai Hills Estate, Dubai"
"1,150,000 AED","1,351 sqft",Apartment,2,3,"Hyati Residences, Jumeirah Village Circle, Dubai"
"2,500,000 AED","2,249 sqft",Villa,3,2,"Springs 15, The Springs, Dubai"
"1,499,000 AED","1,670 sqft",Apartment,2,3,"Al Seef Tower 3, Al Seef  Towers, Jumeirah Lake Towers, Dubai"
"3,050,000 AED","1,959 sqft",Apartment,3,4,"Marina Gate 1, Marina Gate, Dubai Marina, Dubai"
"550,000 AED",972 sqft,Apartment,1,2,"Le Grand Chateau, Jumeirah Village Circle, Dubai"
"1,350,000 AED","1,072 sqft",Apartment,2,2,"Se7en City JLT, Jumeirah Lake Towers, Dubai"
"2,500,000 AED","10,600 sqft",Land,,,"West Yas, Yas Island, Abu Dhabi"
"710,000 AED",641 sqft,Apartment,1,1,"The Bridges, Shams Abu Dhabi, Al Reem Island, Abu Dhabi"
"4,300,000 AED","4,844 sqft",Villa,5,4,"Alvorada 4, Alvorada, Arabian Ranches, Dubai"
"1,100,000 AED","1,170 sqft",Apartment,1,2,"Dubai Creek Residence Tower 2 South, Dubai Creek Harbour (The Lagoons), Dubai"
"3,700,000 AED","3,533 sqft",Villa,4,5,"Sidra Villas III, Sidra Villas, Dubai Hills Estate, Dubai"
"1,155,000 AED",753 sqft,Apartment,1,2,"Downtown Views, Downtown Dubai, Dubai"
"1,800,000 AED","1,490 sqft",Apartment,1,2,"Oceana Caribbean, Oceana, Palm Jumeirah, Dubai"
"2,300,000 AED","2,311 sqft",Villa,3,2,"Zulal 1, Zulal, The Lakes, Dubai"
"3,400,000 AED","34,000 sqft",Land,,,"Shakhbout City, Abu Dhabi"
"2,000,000 AED","1,402 sqft",Apartment,2,3,"Tajer Residences, The Old Town Island, Old Town, Dubai"
"1,800,000 AED","4,014 sqft",Villa,4,5,"Bayti Townhouses, Al Hamra Village, Ras Al Khaimah"
"2,630,000 AED","2,518 sqft",Apartment,3,4,"Al Yass Tower, Emaar 6 Towers, Dubai Marina, Dubai"
"17,000,000 AED","6,650 sqft",Apartment,4,5,"118 Downtown, Mohammad Bin Rashid Boulevard, Downtown Dubai, Dubai"
"1,600,000 AED","2,013 sqft",Apartment,3,4,"Princess Tower, Dubai Marina, Dubai"
"1,300,000 AED",795 sqft,Apartment,1,2,"Bonaire Tower, Park Island, Dubai Marina, Dubai"
"1,200,000 AED",802 sqft,Apartment,1,1,"Elite Residence, Dubai Marina, Dubai"
"1,300,000 AED","2,230 sqft",Townhouse,3,4,"Nasma Residence, Al Tai, Sharjah"
"1,089,777 AED","1,750 sqft",Townhouse,2,3,"MAG Eye, District 7, Mohammed Bin Rashid City, Dubai"
"328,996 AED",773 sqft,Apartment,1,2,"Pacific Tahiti, Pacific, Al Marjan Island, Ras Al Khaimah"
"1,350,000 AED","2,167 sqft",Townhouse,3,3,"Noor Townhouses, Town Square, Dubai"
"6,900,000 AED","4,742 sqft",Villa,4,4,"Meadows 8, Meadows, Dubai"
"1,200,000 AED",963 sqft,Apartment,2,3,"Marina Diamond 2, Marina Diamonds, Dubai Marina, Dubai"
"691,995 AED","1,429 sqft",Duplex,2,3,"Pacific Polynesia, Pacific, Al Marjan Island, Ras Al Khaimah"
"2,100,000 AED","2,558 sqft",Townhouse,4,4,"Morella, Victory Heights, Dubai Sports City, Dubai"
"10,999,950 AED","4,642 sqft",Penthouse,4,6,"Marina Gate 1, Marina Gate, Dubai Marina, Dubai"
"1,620,844 AED","1,399 sqft",Apartment,3,4,"Waters Edge, Yas Island, Abu Dhabi"
"5,000,000 AED","3,915 sqft",Villa,3,4,"Park Island Villas, Park Island, Dubai Marina, Dubai"
"760,000 AED","3,600 sqft",Villa,4,3,"Sheikh Jaber Al Sabah Street, Al Naimiya, Al Naemiyah, Ajman"
"205,000 AED",380 sqft,Apartment,Studio,1,"Lakeside Tower C, Lakeside Residence, Dubai Production City (IMPZ), Dubai"
"814,980 AED",831 sqft,Apartment,1,2,"Samana Hills, Arjan, Dubai"
"2,600,000 AED","1,954 sqft",Apartment,2,2,"Oceana Adriatic, Oceana, Palm Jumeirah, Dubai"
"1,750,000 AED","1,765 sqft",Apartment,2,3,"Princess Tower, Dubai Marina, Dubai"
"1,931,800 AED","1,528 sqft",Apartment,3,4,"Reflection, Shams Abu Dhabi, Al Reem Island, Abu Dhabi"
"1,600,000 AED","1,786 sqft",Apartment,2,2,"Golden Mile 10, Golden Mile, Palm Jumeirah, Dubai"
"365,995 AED",773 sqft,Apartment,1,1,"Pacific Samoa, Pacific, Al Marjan Island, Ras Al Khaimah"
"1,522,589 AED","1,290 sqft",Apartment,3,3,"Al Maryah Vista, Al Maryah Island, Abu Dhabi"
"1,020,000 AED","3,200 sqft",Villa,5,5,"Al Zaheya Gardens, Al Zahya, Ajman"
"725,000 AED",827 sqft,Apartment,Studio,1,"Burj Views podium, Burj Views, Downtown Dubai, Dubai"
"899,999 AED","1,471 sqft",Apartment,2,3,"Sherlock House 2, Sherlock House, Motor City, Dubai"
"995,000 AED",826 sqft,Apartment,1,2,"Acacia, Park Heights, Dubai Hills Estate, Dubai"
Ask for price,"5,000 sqft",Villa,5,7+,"Al Rawda 2 Villas, Al Rawda 2, Al Rawda, Ajman"
"3,399,500 AED","3,656 sqft",Apartment,5,5,"Balqis Residences, Kingdom of Sheba, Palm Jumeirah, Dubai"
"900,000 AED","1,670 sqft",Apartment,2,3,"Shakespeare Circus 3, Shakespeare Circus, Motor City, Dubai"
"6,450,000 AED","65,000 sqft",Land,,,"Khalifa City C, Khalifa City, Abu Dhabi"
"1,069,888 AED",650 sqft,Apartment,1,1,"Executive Residences, Dubai Hills Estate, Dubai"
"1,200,000 AED",746 sqft,Apartment,1,1,"Marina Vista, EMAAR Beachfront, Dubai Harbour, Dubai"
"4,200,000 AED","1,780 sqft",Apartment,3,4,"Burj Vista 1, Burj Vista, Downtown Dubai, Dubai"
"15,500,000 AED","13,500 sqft",Land,,,"Signature Villas Frond N, Signature Villas, Palm Jumeirah, Dubai"
"926,784 AED",833 sqft,Apartment,1,2,"Q Gardens Boutique Residences, Arjan, Dubai"
"11,670,000 AED","12,727 sqft",Villa,6,7,"Golf Place, Dubai Hills Estate, Dubai"
"1,588,011 AED","2,786 sqft",Villa,3,3,"Bayti Townhouses, Al Hamra Village, Ras Al Khaimah"
"7,500,000 AED","21,785 sqft",Land,,,"Fairway Vistas, Dubai Hills, Dubai Hills Estate, Dubai"
"2,700,000 AED","2,204 sqft",Apartment,3,4,"Al Sahab 2, Al Sahab, Dubai Marina, Dubai"
"1,850,000 AED","2,210 sqft",Townhouse,4,5,"Arabella Townhouses 3, Arabella Townhouses, Mudon, Dubai"
"590,000 AED",469 sqft,Apartment,Studio,1,"Pixel, Makers District, Al Reem Island, Abu Dhabi"
"2,490,000 AED","1,450 sqft",Apartment,2,3,"Burj Vista 2, Burj Vista, Downtown Dubai, Dubai"
"975,000 AED","1,557 sqft",Apartment,2,3,"MAG 214, Lake Elucio, Jumeirah Lake Towers, Dubai"
"816,000 AED",671 sqft,Apartment,1,1,"Waters Edge, Yas Island, Abu Dhabi"
"375,000 AED",357 sqft,Apartment,Studio,1,"Oxford Residence 2, Jumeirah Village Circle, Dubai"
"450,000 AED",637 sqft,Apartment,1,1,"MAG 515, MAG 5, Dubai South (Dubai World Central), Dubai"
"1,299,000 AED","1,333 sqft",Apartment,2,3,"Travo Tower B, Travo, The Views, Dubai"
"4,499,999 AED","4,354 sqft",Villa,4,4,"Rosa, Arabian Ranches 2, Dubai"
"1,499,999 AED","1,430 sqft",Apartment,1,2,"Sadaf 7, Sadaf, Jumeirah Beach Residence, Dubai"
"18,040,888 AED","5,253 sqft",Apartment,4,4,"IL Primo, Opera District, Downtown Dubai, Dubai"
"9,877,000 AED","13,029 sqft",Land,,,"Emerald Hills, Dubai Hills Estate, Dubai"
"1,180,000 AED","1,894 sqft",Townhouse,3,3,"Amaranta, Villanova, Dubai Land, Dubai"
"750,000 AED",807 sqft,Apartment,1,2,"Marina Blue Tower, Marina Square, Al Reem Island, Abu Dhabi"
"550,000 AED","1,312 sqft",Apartment,2,2,"The Crescent Tower C, The Crescent, Dubai Production City (IMPZ), Dubai"
"550,000 AED","1,312 sqft",Apartment,2,2,"The Crescent Tower C, The Crescent, Dubai Production City (IMPZ), Dubai"
"1,500,000 AED",,Land,,6,"Hacienda, The Villa, Dubai"
"426,000 AED",410 sqft,Apartment,Studio,1,"Bloom Towers, Jumeirah Village Circle, Dubai"
"1,180,000 AED","1,894 sqft",Townhouse,3,3,"Amaranta, Villanova, Dubai Land, Dubai"
"58,250,000 AED","11,184 sqft",Apartment,3,3,"Mansion 1, W Residences, Palm Jumeirah, Dubai"
"1,850,000 AED","2,260 sqft",Apartment,3,3,"Abu Keibal, Shoreline Apartments, Palm Jumeirah, Dubai"
"1,719,888 AED","1,131 sqft",Apartment,2,3,"Seven Palm, Palm Jumeirah, Dubai"
"3,650,000 AED","4,951 sqft",Villa,5,6,"The Park Villas, DAMAC Hills (Akoya by DAMAC), Dubai"
"11,500,000 AED","6,954 sqft",Villa,4,5,"The Hartland Villas, Sobha Hartland, Mohammed Bin Rashid City, Dubai"
"2,800,000 AED","3,063 sqft",Villa,3,2,"Legacy, Jumeirah Park, Dubai"
Ask for price,"7,000 sqft",Whole Building,,,"Al Mwaihat 3, Al Mwaihat, Ajman"
"863,835 AED",670 sqft,Apartment,1,1,"Waters Edge, Yas Island, Abu Dhabi"
"742,888 AED",314 sqft,Apartment,Studio,1,"Seven Palm, Palm Jumeirah, Dubai"
"15,200,000 AED","9,449 sqft",Villa,7,3,"Fairway Vistas, Dubai Hills, Dubai Hills Estate, Dubai"
"72,000,000 AED","32,130 sqft",Villa,7,7+,"District One Mansions, District One, Mohammed Bin Rashid City, Dubai"
"3,319,910 AED","1,683 sqft",Apartment,3,3,"Vida Residences Dubai Mall, Downtown Dubai, Dubai"
"3,795,000 AED","4,309 sqft",Villa,4,4,"Rasha, Arabian Ranches 2, Dubai"
"420,000 AED",622 sqft,Apartment,1,1,"MAG 540, Mag 5 Boulevard, Dubai South (Dubai World Central), Dubai"
"549,000 AED",548 sqft,Apartment,1,1,"Manchester Tower, Dubai Marina, Dubai"
"32,000,000 AED","20,003 sqft",Villa,7,7+,"Sector R, Emirates Hills, Dubai"
"2,100,000 AED","2,578 sqft",Villa,3,4,"The Field, DAMAC Hills (Akoya by DAMAC), Dubai"
"1,800,000 AED","1,337 sqft",Apartment,2,3,"Burj Vista 1, Burj Vista, Downtown Dubai, Dubai"
"11,000,000 AED","3,019 sqft",Apartment,3,5,"One at Palm Jumeirah, Palm Jumeirah, Dubai"
"28,000,000 AED","10,000 sqft",Villa,6,6,"Signature Villas Frond C, Signature Villas, Palm Jumeirah, Dubai"
"4,699,999 AED","5,368 sqft",Villa,5,5,"Rosa, Arabian Ranches 2, Dubai"
"2,300,000 AED","1,338 sqft",Apartment,2,3,"Zanzebeel 3, Zanzebeel, Old Town, Dubai"
"6,500,000 AED","1,847 sqft",Apartment,2,3,"The Address Downtown Hotel, Downtown Dubai, Dubai"
"1,095,000 AED",781 sqft,Apartment,1,1,"Yansoon 4, Yansoon, Old Town, Dubai"
"2,990,000 AED","4,359 sqft",Villa,5,3,"Casa, Arabian Ranches 2, Dubai"
